Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Flag,Compensation_Ratio,Hike_Band,OverTime_Flag,Overtime_LowHike_Risk,Tenure_Per_Level,Total_Comp_Score,Exp_Pay_Ratio,BusinessTravel_Enc,Department_Enc,EducationField_Enc,Gender_Enc,JobRole_Enc,MaritalStatus_Enc,OverTime_Enc,Hike_Band_Enc
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0,1.4151847458691134,Low,1,1,1.5,3466.4,563.4285714285714,2,1,1,1,6,2,1,1
24,No,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0,0.7289709129621512,High,0,0,1.3333333333333333,5206.6,668.5,0,1,4,0,4,0,0,0
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,1,1.2224985875192873,High,0,0,2.5,4344.2,309.72727272727275,2,2,1,1,8,2,0,0
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0,1.2217267766303563,Low,0,0,3.0,8296.4,856.7142857142857,2,1,1,0,5,2,0,1
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0,0.4420658232532322,Medium,0,0,0.0,2139.2,1232.0,2,1,1,1,6,2,0,2
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,1,1.062106198725298,Low,0,0,2.0,2876.0,328.8888888888889,2,1,3,1,6,2,0,1
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0,0.9949027212672062,Low,0,0,2.3333333333333335,13556.4,707.1851851851852,2,1,4,0,3,0,0,1
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1,1.4062142543258254,High,1,0,5.0,4551.4,356.27272727272725,1,1,1,0,6,2,1,0
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0,1.2403955325272207,Low,0,0,3.0,6195.0,620.4545454545455,2,2,2,1,7,1,0,1
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0,1.0438766055450968,Medium,0,0,5.5,8548.8,409.92,2,1,3,0,0,1,0,2
46,No,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0,0.987243210424728,Medium,0,0,0.3333333333333333,12568.199999999999,823.7826086956521,2,2,2,0,3,2,0,2
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0,0.895613875681873,Low,0,0,0.5,2597.6,312.0,2,1,3,1,2,2,0,1
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0,1.1749680758664443,Medium,1,0,1.3333333333333333,5179.0,646.5,2,1,4,1,0,1,1,2
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0,0.7915561737797323,Medium,0,0,5.0,2623.6,200.54545454545453,2,1,3,1,2,2,0,2
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,1,0.3791157627621659,Medium,0,0,0.3333333333333333,3651.6,104.3,2,2,5,1,8,1,0,2
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1,0.8227734843503745,High,1,0,1.0,3975.8,327.57142857142856,2,1,3,1,6,1,1,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0,0.9490780052798694,Medium,0,0,2.5,4787.0,377.85714285714283,2,1,3,0,6,0,0,2
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1,0.9627131524256671,Medium,1,0,1.5,3009.8,670.75,2,2,2,1,8,1,1,2
35,No,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0,0.7226627987272805,Medium,0,0,1.0,2508.3999999999996,671.3333333333334,2,2,2,0,8,1,0,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0,1.2268044234600655,Medium,1,0,0.5,4451.4,488.42857142857144,2,1,1,0,6,1,1,2
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0,0.9770500194675953,High,0,0,1.6666666666666667,7125.6,488.72727272727275,1,2,1,0,7,1,0,0
35,No,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0,0.7000571600381947,Medium,0,0,0.5,3370.6,975.5,2,1,4,1,2,0,0,2
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0,0.8399968281134874,Medium,0,0,0.5,3704.6,1170.5,2,1,1,0,2,0,0,2
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1,0.8227734843503745,Medium,0,0,0.5,2575.8,1146.5,2,1,1,1,2,2,0,2
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0,0.8888434094444296,High,0,0,2.25,6735.599999999999,872.6,1,2,1,1,7,2,0,0
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0,0.7289709129621512,High,0,0,4.0,4706.6,308.53846153846155,1,1,3,0,2,2,0,0
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1,1.018402308953993,Medium,0,0,3.6666666666666665,12927.0,814.375,2,1,5,0,5,1,0,2
34,No,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0,0.830201727851186,High,0,0,3.0,4740.799999999999,415.27272727272725,0,2,2,1,7,2,0,0
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0,1.0843530177526524,High,0,0,0.5,3913.2,335.77777777777777,2,1,1,1,6,1,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0,1.0490202217944495,High,1,0,3.0,5563.2,384.8,1,2,2,1,7,2,1,0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0,0.814161812468818,High,0,0,0.5,3261.3999999999996,1134.5,2,1,1,1,2,1,0,0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1,0.5481167071075493,Medium,1,0,0.25,4528.6,224.20833333333334,2,1,1,1,2,2,1,2
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1,1.234698456018159,Medium,1,0,1.0,3364.6,1147.0,2,1,5,1,2,2,1,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0,0.9912259684107636,High,1,0,1.3333333333333333,6372.4,545.4,2,2,2,0,7,0,1,0
35,No,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0,1.0067990211951343,Medium,1,0,1.0,8230.4,898.5454545454545,0,1,3,1,0,1,1,2
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0,0.7555053814967995,High,1,0,0.6666666666666666,5394.2,692.8333333333334,2,2,2,0,7,1,1,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0,1.3708520059939415,Medium,1,0,3.75,9274.8,841.125,1,1,1,0,5,2,1,2
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0,0.9237819023895866,High,0,0,2.25,8641.4,906.9,1,2,1,1,7,1,0,0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0,1.4403021221903198,High,1,0,1.0,4908.4,802.8,2,1,3,0,2,1,1,0
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0,1.0750094615235912,High,0,0,2.3333333333333335,6749.0,537.7272727272727,2,1,1,1,2,0,0,0
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0,1.0891854104667595,High,0,0,2.3333333333333335,6395.799999999999,749.125,2,1,1,1,4,0,0,0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0,1.1198999665102907,High,1,0,3.0,6897.2,616.2,2,1,3,1,4,1,1,0
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0,0.4372735020161894,Low,0,0,3.3333333333333335,2543.6,218.72727272727272,1,1,1,0,2,2,0,1
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0,0.9764573686261362,Medium,1,0,4.5,13444.0,624.6666666666666,2,1,3,0,5,0,1,2
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0,0.777916240880943,Low,0,0,5.25,5682.2,263.3448275862069,2,2,1,0,7,2,0,1
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0,1.0283936582341235,Medium,0,0,4.25,10357.599999999999,560.8888888888889,2,1,5,0,0,0,0,2
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0,0.9517677061167663,Medium,1,0,1.0,13253.6,670.7272727272727,2,1,3,0,3,0,1,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0,1.1811473356621842,Medium,0,0,2.0,5199.4,928.4285714285714,1,1,1,1,4,2,0,2
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0,0.9905011819204256,High,0,0,0.25,8534.4,374.0,2,1,1,1,6,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0,0.787250337838954,Medium,0,0,1.5,3616.3999999999996,365.6666666666667,1,1,3,1,6,1,0,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,1.2156810139463885,High,1,0,0.5,4732.8,1129.3333333333333,2,1,3,1,6,1,1,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0,0.9946790841789712,Low,0,0,1.3333333333333333,4383.799999999999,260.6190476190476,1,2,1,0,7,2,0,1
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0,0.9698895456602975,High,0,0,2.5,4921.8,386.14285714285717,2,1,1,1,6,1,0,0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0,0.8974079739905305,High,0,0,0.5,3200.6,1250.5,2,1,3,1,6,2,0,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0,1.1304410567500824,High,0,0,3.3333333333333335,7432.0,565.4545454545455,2,1,1,1,6,1,0,0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0,1.0900941323403566,Medium,0,0,0.5,3022.8,506.3333333333333,2,1,1,0,2,1,0,2
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0,0.8040307451868753,High,0,0,3.6666666666666665,4954.4,368.6666666666667,2,1,1,0,4,2,0,0
35,No,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0,0.7836755364479671,Medium,0,0,5.0,3987.2,253.64705882352942,2,2,2,1,7,2,0,2
45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0,1.3491555074594854,Medium,1,0,0.0,9347.0,735.8333333333334,2,1,4,1,5,1,1,2
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0,1.391835474060129,Medium,0,0,1.25,9498.4,803.7647058823529,2,1,3,1,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0,0.9125312774826629,High,1,0,1.3333333333333333,6212.6,295.3529411764706,2,0,3,1,1,0,1,0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0,0.9316142856753894,Medium,1,0,3.3333333333333335,6275.6,466.0,2,1,1,1,2,1,1,2
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0,1.0258654128904146,High,0,0,3.0,3515.3999999999996,408.42857142857144,2,1,3,1,6,2,0,0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0,1.0429598520858945,Medium,0,0,0.25,8543.4,409.56,2,2,1,1,7,1,0,2
38,No,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0,0.9685081015146606,Medium,1,0,4.333333333333333,7397.4,296.05555555555554,0,1,3,0,6,0,1,2
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,0,0.7860381946051618,High,0,0,1.6666666666666667,4095.0,720.8333333333334,2,1,3,1,4,1,0,0
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0,0.7395144570899105,Low,0,0,1.5,5456.0,191.05263157894737,2,1,1,1,4,2,0,1
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0,0.8331792545405885,Medium,0,0,0.0,3693.2,580.5,2,2,5,1,8,0,0,2
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0,0.7445507980929033,High,0,0,2.0,5545.0,188.63636363636363,2,1,1,1,2,1,0,0
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,0,0.7545966668209553,High,0,0,3.6666666666666665,7391.2,346.0,2,1,1,1,0,1,0,0
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,1,0.979805724896398,High,0,0,2.25,7371.4,961.9,2,2,3,1,7,2,0,0
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,0,0.8709487215840808,High,0,0,4.4,11301.8,587.0869565217391,1,1,1,1,0,1,0,0
51,No,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,0,0.9888633102535689,High,1,0,3.3333333333333335,5464.6,453.4166666666667,2,2,2,1,7,2,1,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,0,0.9466989492944018,Medium,1,0,3.6666666666666665,7325.4,434.0833333333333,2,2,3,0,7,0,1,2
